Date,Close,High,Low,Open,Volume
2024-08-09,18616.0,18674.75,18383.0,18551.75,1607665
2024-08-12,18639.5,18765.5,18514.5,18591.75,1477087
2024-08-13,19104.25,19121.75,18628.75,18644.0,1202244
2024-08-14,19115.0,19203.75,18925.5,19100.0,1405052
2024-08-15,19581.25,19603.5,19100.25,19148.25,1185059
2024-08-16,19605.75,19683.0,19445.25,19569.0,1139475
2024-08-19,19857.75,19872.75,19525.0,19628.25,1104455
2024-08-20,19809.5,19930.75,19743.0,19854.0,1139350
2024-08-21,19909.5,19982.0,19771.25,19805.0,1256540
2024-08-22,19578.25,20025.75,19542.0,19917.75,1526350
2024-08-23,19790.75,19903.25,19592.0,19621.25,1389224
2024-08-26,19591.25,19846.25,19506.5,19788.0,1256338
2024-08-27,19653.75,19694.5,19441.75,19555.25,1156765
2024-08-28,19415.75,19690.0,19227.0,19638.0,1399017
2024-08-29,19393.25,19692.0,19139.0,19240.75,1695851
2024-08-30,19623.0,19633.0,19370.0,19449.0,1324898
2024-09-03,19006.5,19683.0,18911.0,19600.0,1784918
2024-09-04,18962.5,19115.0,18824.25,18991.0,1497422
2024-09-05,18963.5,19150.25,18828.0,18968.5,1484912
2024-09-06,18458.25,18972.5,18337.25,18920.0,1794051
2024-09-09,18692.25,18735.0,18386.75,18399.5,1794051
2024-09-10,18864.0,18876.75,18582.5,18723.75,1453633
2024-09-11,19271.0,19293.5,18547.75,18841.75,1798075
2024-09-12,19447.25,19483.25,19185.25,19246.0,1498854
2024-09-13,19530.25,19577.0,19396.0,19410.0,1050142
2024-09-16,19433.0,19546.75,19299.0,19498.25,626875
2024-09-17,19439.25,19615.5,19341.25,19427.25,360355
2024-09-18,19349.25,19663.75,19330.25,19440.0,262691
2024-09-19,19850.25,19967.0,19399.75,19404.75,170987
2024-09-20,19808.009765625,19839.75,19746.75,19815.0,1234853
2024-09-23,20080.0,20164.0,19955.0,20039.0,1097095
2024-09-24,20167.75,20214.75,19952.0,20065.25,1146619
2024-09-25,20192.0,20272.75,20063.75,20184.25,1036524
2024-09-26,20346.25,20537.75,20188.0,20241.75,1305049
2024-09-27,20221.5,20396.0,20173.0,20344.5,1224998
2024-09-30,20261.25,20286.75,20057.5,20198.25,1312804
2024-10-01,19975.0,20331.5,19818.0,20232.0,1618835
2024-10-02,20009.75,20089.5,19833.5,19972.0,1366434
2024-10-03,19990.25,20115.0,19851.0,20056.5,1414771
2024-10-04,20227.25,20263.0,19941.25,19971.75,1462166
2024-10-07,19992.75,20268.0,19948.0,20219.0,1243605
2024-10-08,20298.5,20329.5,19902.5,20032.0,1162724
2024-10-09,20463.5,20482.25,20195.5,20298.0,1074631
2024-10-10,20429.75,20508.0,20301.25,20447.75,1110733
2024-10-11,20450.0,20494.5,20313.25,20441.5,989984
2024-10-14,20619.25,20680.0,20382.5,20433.75,872065
2024-10-15,20342.0,20659.25,20254.0,20637.5,1223692
2024-10-16,20349.5,20397.5,20205.25,20340.0,1075278
2024-10-17,20368.0,20594.5,20276.75,20332.0,1332449
2024-10-18,20483.5,20532.0,20321.0,20385.5,993223
2024-10-21,20519.5,20554.25,20342.5,20495.75,1106488
2024-10-22,20542.0,20602.0,20360.25,20518.25,1159474
2024-10-23,20220.5,20542.5,20079.0,20522.75,1387682
2024-10-24,20380.25,20428.0,20260.5,20299.5,1160911
2024-10-25,20498.75,20707.5,20363.25,20385.0,1306774
2024-10-28,20497.0,20676.75,20486.0,20524.0,1109789
2024-10-29,20696.5,20760.25,20432.0,20508.0,1185222
2024-10-30,20534.75,20789.75,20471.0,20725.0,1245410
2024-10-31,20021.75,20496.5,20007.75,20486.0,1526915
2024-11-01,20153.25,20287.25,20017.75,20065.25,1360922
2024-11-04,20086.0,20249.0,20013.25,20141.75,1167242
2024-11-05,20341.75,20386.0,20041.75,20128.0,1075354
2024-11-06,20894.0,20935.75,20323.5,20365.0,1535645
2024-11-07,21224.75,21253.5,20860.75,20924.25,1039992
2024-11-08,21231.25,21266.5,21121.5,21225.0,968725
2024-11-11,21217.75,21340.5,21098.25,21242.0,1057796
2024-11-12,21189.5,21252.25,21054.75,21218.0,1185300
2024-11-13,21159.5,21268.75,21057.5,21180.5,1297749
2024-11-14,21011.75,21191.25,20950.5,21166.0,1324325
2024-11-15,20493.75,20981.0,20405.25,20980.0,1502693
2024-11-18,20633.5,20724.5,20476.25,20504.75,1242409
2024-11-19,20767.75,20792.5,20382.0,20634.25,1269635
2024-11-20,20749.0,20843.5,20477.25,20766.0,1456356
2024-11-21,20829.5,20907.0,20514.0,20739.25,1736337
2024-11-22,20849.75,20880.5,20693.0,20804.0,1453970
2024-11-25,20880.25,21081.25,20780.25,20909.0,1309260
2024-11-26,20993.5,21025.0,20755.25,20910.0,1285541
2024-11-27,20813.0,21019.25,20675.0,20998.25,1225084
2024-11-29,20993.5,21018.0,20805.75,20814.75,867549
2024-12-02,21218.0,21259.5,20939.75,20994.5,1109619
2024-12-03,21281.5,21328.75,21134.75,21215.0,1011669
2024-12-04,21536.5,21550.0,21305.5,21321.25,974144
2024-12-05,21473.25,21567.75,21437.25,21511.0,933007
2024-12-06,21656.75,21669.5,21424.0,21449.25,1012713
2024-12-09,21483.75,21706.5,21437.0,21648.75,1113455
2024-12-10,21405.25,21606.75,21352.75,21480.0,1207546
2024-12-11,21793.5,21819.75,21405.75,21438.25,1089929
2024-12-12,21651.25,21772.75,21602.25,21756.75,1144968
2024-12-13,21795.75,21908.0,21666.75,21700.5,1308826
2024-12-16,22110.25,22152.5,21762.25,21785.25,595879
2024-12-17,22014.75,22125.0,21942.75,22113.0,444153
2024-12-18,21218.75,22083.5,21032.25,22018.25,342825
2024-12-19,21112.75,21424.0,21077.5,21197.0,214524
2024-12-20,20947.98046875,21165.0,20745.75,21155.0,2091012
2024-12-23,21753.25,21777.0,21476.0,21566.5,1465658
2024-12-24,22028.5,22050.0,21708.5,21738.75,649417
2024-12-26,22008.0,22111.0,21870.5,22050.0,1055075
2024-12-27,21698.5,22008.75,21498.25,21984.0,1422687
2024-12-30,21416.25,21742.5,21252.75,21710.75,1395670
2024-12-31,21226.5,21524.75,21181.75,21391.25,1365775
2025-01-02,21167.5,21490.75,20983.25,21273.25,1983720
2025-01-03,21516.5,21559.25,21144.25,21191.5,1344599
2025-01-06,21744.5,21897.0,21478.75,21532.0,1503351
2025-01-07,21359.75,21806.25,21279.5,21781.0,1825034
2025-01-08,21360.75,21448.25,21166.0,21386.25,1849544
2025-01-09,21301.75,21348.75,21217.5,21348.75,271335
2025-01-10,21016.0,21372.5,20874.75,21302.0,2151541
2025-01-13,20947.25,21037.0,20693.5,21027.5,1909993
2025-01-14,20919.5,21143.75,20773.25,21020.0,1860331
2025-01-15,21400.25,21452.75,20908.75,20975.75,1498701
2025-01-16,21249.75,21566.75,21171.75,21386.25,1644378
2025-01-17,21594.75,21680.0,21208.75,21225.0,1502244
2025-01-21,21709.5,21785.0,21370.25,21601.0,2098591
2025-01-22,22000.5,22094.0,21769.0,21800.0,1191350
